алл. 1 Мая, д. 2/4
алл. 50 лет Октября, д. 4 стр. 2
алл. 9 Января, д. 1/4 к. 4/9
алл. 9 Января, д. 5/4 к. 4
алл. Автомобилистов, д. 261 стр. 6
алл. Автомобилистов, д. 68 стр. 32
алл. Азовская, д. 546 к. 94
алл. Амурская, д. 37 к. 6/8
алл. Амурская, д. 65
алл. Амурская, д. 7 к. 9/6
алл. Амурская, д. 9 к. 8
алл. Ангарская, д. 128 к. 522
алл. Базарная, д. 8
алл. Базарная, д. 81 стр. 667
алл. Балтийская, д. 9 к. 773
алл. Баумана, д. 126
алл. Безымянная, д. 15 стр. 4/8
алл. Безымянная, д. 38 к. 2/7
алл. Белинского, д. 49 к. 8/2
алл. Белинского, д. 8 к. 14
алл. Белинского, д. 89 стр. 1/1
алл. Большевистская, д. 62 стр. 3/5
алл. Боровая, д. 2 к. 466
алл. Боровая, д. 2/9
алл. Боровая, д. 32 к. 323
алл. Боровая, д. 32 к. 47
алл. Боровая, д. 325 к. 193
алл. Боровая, д. 655 стр. 5
алл. Вавилова, д. 1 стр. 8
алл. Васильковая, д. 3
алл. Ватутина, д. 7/7
алл. Верхняя, д. 47 стр. 7/7
алл. Веселая, д. 2/4 стр. 415
алл. Веселая, д. 663 к. 799
алл. Веселая, д. 90 стр. 808
алл. Виноградная, д. 425 к. 177
алл. Водопроводная, д. 3/6 стр. 40
алл. Вокзальная, д. 1/9 к. 80
алл. Володарского, д. 69 стр. 783
алл. Воровского, д. 7/3
алл. Воронежская, д. 813 к. 86
алл. Ворошилова, д. 5/1 стр. 4
алл. Восточная, д. 4 стр. 4
алл. Восточная, д. 45 стр. 594
алл. Восьмого Марта, д. 5/8 к. 135
алл. Выгонная, д. 622 к. 586
алл. Высоковольтная, д. 603 стр. 32
алл. Гаражная, д. 1 стр. 33
алл. Гвардейская, д. 962 стр. 1/3
алл. Геологическая, д. 8 к. 8/2
алл. Главная, д. 291 к. 8
алл. Глинки, д. 788 стр. 1/2
алл. Гончарова, д. 9/3 стр. 1/2
алл. Горная, д. 1
алл. Горная, д. 2 к. 7/5
алл. Горная, д. 7/6 стр. 2
алл. Городская, д. 7/1 к. 8/5
алл. Гражданская, д. 2 стр. 320
алл. ДОС, д. 4/4 к. 2/9
алл. Дальневосточная, д. 5/7
алл. Дальняя, д. 3/3
алл. Дарвина, д. 2/5
алл. Депутатская, д. 4
алл. Детская, д. 330 стр. 158
алл. Дзержинского, д. 7/9 к. 6
алл. Дорожная, д. 43 стр. 9
алл. Дорожная, д. 508 стр. 106
алл. Дружба, д. 1/1 к. 923
алл. Жданова, д. 3/4 стр. 97
алл. Жуковского, д. 6 стр. 10
алл. Журавлева, д. 1
алл. З.Космодемьянской, д. 79 стр. 6/2
алл. Звездная, д. 669 к. 591
алл. Зои Космодемьянской, д. 2
алл. Зои Космодемьянской, д. 61 к. 894
алл. Ивановская, д. 2 стр. 654
алл. Инженерная, д. 9/8 стр. 93
алл. Интернациональная, д. 8 к. 99
алл. Интернациональная, д. 973 стр. 8
алл. Казанская, д. 28
алл. Казачья, д. 9/1 стр. 6/1
алл. Калинина, д. 53 к. 301
алл. Камская, д. 5/6 стр. 828
алл. Карла Маркса, д. 7 к. 6/5
алл. Карла Маркса, д. 8/9 стр. 73
алл. Кирова, д. 179 к. 703
алл. Кленовая, д. 368
алл. Клубная, д. 30 стр. 1
алл. Колхозная, д. 1 к. 808
алл. Кольцевая, д. 2 к. 660
алл. Кольцова, д. 4 к. 57
алл. Коммунаров, д. 458 стр. 9/2
алл. Коммунистическая, д. 8/5 к. 9/2
алл. Кооперативная, д. 3
алл. Королева, д. 4 к. 5
алл. Королева, д. 508
алл. Короленко, д. 77
алл. Короткая, д. 8/1 к. 68
алл. Космическая, д. 52
алл. Крайняя, д. 7
алл. Краснодарская, д. 232
алл. Краснознаменная, д. 33 к. 5/4
алл. Красных Партизан, д. 821
алл. Крупской, д. 665 к. 2/6
алл. Кузнечная, д. 471 стр. 25
алл. Кузнечная, д. 74
алл. Куйбышева, д. 8/8 к. 1/6
алл. Культуры, д. 8 к. 44
алл. Лермонтова, д. 93 к. 496
алл. Лесная, д. 3 к. 6
алл. Лесхозная, д. 9 к. 94
алл. Логовая, д. 119 стр. 1/7
алл. Ломоносова, д. 93
алл. Луговая, д. 9/5 стр. 6
алл. Луначарского, д. 6/1
алл. М.Горького, д. 18 стр. 4/7
алл. М.Горького, д. 4/2 стр. 206
алл. Макаренко, д. 4/4 к. 3/5
алл. Мая 1, д. 5/9
алл. Медицинская, д. 595 к. 3
алл. Мелиораторов, д. 97
алл. Менделеева, д. 5 к. 149
алл. Минина, д. 348 к. 8/1
алл. Минина, д. 7 стр. 1
алл. Минская, д. 41 стр. 9
алл. Минская, д. 5/4 к. 95
алл. Мирная, д. 38 к. 711
алл. Мирная, д. 545 стр. 450
алл. Мирная, д. 956
алл. Мичурина, д. 6/8
алл. Мичурина, д. 76
алл. Морозова, д. 8/2 стр. 8
алл. Морская, д. 76 стр. 71
алл. Набережная, д. 8 стр. 20
алл. Невского, д. 52 к. 17
алл. Некрасова, д. 301
алл. Нефтяников, д. 6
алл. Нефтяников, д. 6/7 к. 431
алл. Нижняя, д. 8/2
алл. Никитина, д. 898
