01014 Batu Harmoni, Perlis Indera Kayangan
01015 Bandar Damai, Perlis
01020 PJS88T, Perlis
01031 PJU2, Perlis Indera Kayangan
01044 Pangsapuri Bintang, Perlis
01052 Medan Changkat, Perlis
01071 Taman Setia Jaya, Perlis
01098 Bandar Kiara, Perlis
01121 Pangsapuri Petaling, Perlis
01126 Kampung Sungai Besi, Perlis Indera Kayangan
01126 PJS18, Perlis Indera Kayangan
01137 Taman Baru, Perlis Indera Kayangan
01146 SS58b, Perlis
01172 Taman Damai, Perlis Indera Kayangan
01177 USJ 57, Perlis Indera Kayangan
01204 Batu Pelangi, Perlis Indera Kayangan
01204 Taman Indah, Perlis
01214 SS50p, Perlis Indera Kayangan
01215 Seksyen 57, Perlis Indera Kayangan
01259 Seksyen 19, Perlis Indera Kayangan
01263 Alam Kerinchi, Perlis
01271 SS6, Perlis Indera Kayangan
01276 Bandar Sri Puchong, Perlis Indera Kayangan
01280 USJ 66T, Perlis
01288 SS80v, Perlis
01305 Taman Bangsar, Perlis
01318 Bandar Bukit Duta, Perlis
01331 Seri Segambut, Perlis
01337 Puncak Medan, Perlis
01338 Bandar Bahagia, Perlis Indera Kayangan
01343 Apartment Sungai Buaya, Perlis
01377 Desa Setapak, Perlis Indera Kayangan
01424 Bandar Timur, Perlis Indera Kayangan
01439 Laman Aman, Perlis Indera Kayangan
01485 Puncak Segambut, Perlis
01497 Seri Harmoni, Perlis Indera Kayangan
01512 Bandar Ria, Perlis Indera Kayangan
01516 Bandar Pelangi, Perlis
01529 Petaling Sungai Besi, Perlis Indera Kayangan
01551 PJU59Y, Perlis Indera Kayangan
01555 Pandan Changkat, Perlis
01587 Bandar Intan, Perlis
01587 Kampung Baru Melawati, Perlis Indera Kayangan
01598 PJS46, Perlis Indera Kayangan
01599 Taman Laksamana, Perlis
01615 Apartment Bendahara, Perlis Indera Kayangan
01663 PJU5, Perlis Indera Kayangan
01679 Kota Bahagia, Perlis
01705 Bandar Petaling, Perlis
01709 Bandar Sri Ulu, Perlis Indera Kayangan
01713 PJU60, Perlis
01717 Seksyen 38J, Perlis
01720 Bandar Impian, Perlis
01725 Kampung Gembira, Perlis
01763 Bandar Bukit Harmoni, Perlis
01778 Taman Timur, Perlis
01779 Taman Desa Tropika, Perlis Indera Kayangan
01811 USJ 44Z, Perlis
01871 Kampung Country Heights, Perlis
01880 Kondominium Sungai Buaya, Perlis Indera Kayangan
01884 USJ 36, Perlis Indera Kayangan
01904 Lembah Flora, Perlis Indera Kayangan
01916 SS85v, Perlis Indera Kayangan
01917 SS7, Perlis Indera Kayangan
01951 Lembah Selamat, Perlis
01952 Bandar Sungai Long, Perlis
01987 Taman Bahagia, Perlis
02055 Bandar Sinar, Perlis
02062 Kampung Selamat, Perlis Indera Kayangan
02066 Bandar Baru Dato Harun, Perlis Indera Kayangan
02071 Batu Selamat, Perlis
02075 Medan Impian, Perlis Indera Kayangan
02093 Seksyen 1, Perlis Indera Kayangan
02109 Kota Petaling, Perlis Indera Kayangan
02136 Bandar Laksamana, Perlis
02145 Bandar Country Heights, Perlis Indera Kayangan
02170 Medan Sungai Buaya, Perlis Indera Kayangan
02184 Bandar Ulu, Perlis Indera Kayangan
02218 Seksyen 59M, Perlis
02219 Bandar Sentosa, Perlis
02221 Petaling Gembira, Perlis Indera Kayangan
02230 Bukit Jasa, Perlis Indera Kayangan
02248 Kondominium Delima, Perlis Indera Kayangan
02249 Kampung Baru Selatan, Perlis
02250 PJS9, Perlis Indera Kayangan
02256 Pandan Bahagia, Perlis Indera Kayangan
02268 Medan Utara, Perlis
02289 Bandar Seri Tun Perak, Perlis Indera Kayangan
02303 PJS19e, Perlis Indera Kayangan
02307 Seksyen 7, Perlis
02315 Taman Angkasa, Perlis Indera Kayangan
02373 Seri Suria, Perlis Indera Kayangan
02384 PJS5, Perlis Indera Kayangan
02388 SS60e, Perlis Indera Kayangan
02391 Kampung Utama, Perlis Indera Kayangan
02392 PJS17, Perlis Indera Kayangan
02394 Seri Bangsar, Perlis
02403 Seksyen 83r, Perlis
02424 Taman Baru, Perlis
02437 Petaling Tengah, Perlis
02457 Batu Tun Perak, Perlis
02469 PJS6, Perlis
02473 PJS75Y, Perlis
02484 Taman Laksamana, Perlis Indera Kayangan
02485 Sri Amanjaya, Perlis
02519 SS77w, Perlis
02525 Bandar Sri Amanjaya, Perlis
02538 PJS56P, Perlis Indera Kayangan
02540 SS2, Perlis
02569 Seksyen 14, Perlis
02578 Taman Desa Rahmat, Perlis
02579 Taman Pertama, Perlis Indera Kayangan
02581 Bandar Tasik Puteri, Perlis
02589 Seksyen 5, Perlis
02609 SS79, Perlis Indera Kayangan
02625 Kota Segambut, Perlis Indera Kayangan
02651 Bandar Baru Tunku, Perlis Indera Kayangan
02673 Taman Timur, Perlis
02678 USJ 17A, Perlis Indera Kayangan
02722 Ara Kiara, Perlis Indera Kayangan
02727 Bandar Bukit Damansara, Perlis Indera Kayangan
02754 Seksyen 84D, Perlis Indera Kayangan
02763 Kampung Angkasa, Perlis Indera Kayangan
02777 SS56, Perlis Indera Kayangan
05010 SS35O, Kedah Darul Aman
05041 Puncak Menjalara, Kedah
05077 Taman Pelangi, Kedah
05104 Bandar Changkat, Kedah Darul Aman
05110 Bandar Tunku, Kedah Darul Aman
05127 Kampung Baru Melawati, Kedah Darul Aman
05133 Seksyen 2, Kedah
05145 USJ 35d, Kedah
05174 Kampung Baru Flora, Kedah
05178 PJS13m, Kedah Darul Aman
05242 Bandar Pahlawan, Kedah Darul Aman
05249 Seksyen 29W, Kedah
05259 Pangsapuri Ulu, Kedah
05272 Seksyen 88, Kedah Darul Aman
05302 Kampung Baru Flora, Kedah Darul Aman
05333 Taman Semarak, Kedah
05344 PJU74z, Kedah Darul Aman
05361 Apartment Saujana, Kedah
05374 Medan Country Heights, Kedah Darul Aman
05486 Taman Desa Indah, Kedah
05498 Taman Maxwell, Kedah
05502 Ara Anggerik, Kedah
05516 PJS7, Kedah Darul Aman
05546 Bandar Damansara, Kedah
05591 SS2, Kedah Darul Aman
05597 Kondominium Permai, Kedah Darul Aman
05625 USJ 9, Kedah Darul Aman
05681 USJ 59E, Kedah Darul Aman
05774 Taman Rahmat, Kedah Darul Aman
05894 Puncak Bahagia, Kedah
05913 Seksyen 22, Kedah Darul Aman
05913 USJ 85x, Kedah
