Achille Leopardi-Zanichelli
Adamo Bergoglio
Adamo Collina
Adamo Giannini
Adamo Totino-Gullotta
Adelasia Cusano
Adelasia Mascheroni
Adele Abba
Adele Anguissola-Delle
Adele Lettiere
Adele Marzorati-Turati
Adele Tarantino
Adelmo Cuzzocrea
Adelmo Montanari
Adelmo Pezzali
Adriana Coardi
Adriana Gianetti
Adriana Muti-Letta
Adriana Pennetta
Adriano Filogamo
Adriano Garzoni
Adriano Schiaparelli
Agnolo Brenna
Agnolo Carducci
Agnolo Fabrizi
Agnolo Vanvitelli
Agostino Franceschi
Agostino Monti
Agostino Ostinelli
Alberico Fattori
Alberico Torlonia
Alberico Udinese
Alberico Zola
Alberto Pedersoli
Alberto Pizzamano
Alderano Amaldi
Alderano Bragadin
Alderano Cuzzocrea
Alderano Malipiero-Bajardi
Alderano Mattarella-Comisso
Alderano Vanvitelli
Aldo Bernetti
Aldo Dossi
Aldo Morandi
Alessandra Bova
Alessandra Capecchi
Alessandra Federico-Sonnino
Alessandra Fermi
Alessandra Maglio
Alessandra Ruggeri
Alessandra Solimena
Alessia Bellucci
Alessia Iannuzzi
Alessia Liverotti
Alessia Napolitano
Alessia Romiti
Alessia Tresoldi
Alessia Zanzi
Alessio Malatesta
Alfio Castiglione
Alfio Cavanna
Alfio Mimun
Alfio Sgalambro
Alfredo Fanucci
Alfredo Omma
Alfredo Rusticucci
Alfredo Taliani
Alfredo Tresoldi
Alina Antonetti-Pasqua
Alina Bassi
Alina Collodi
Alina Filzi
Alina Mondaini-Greggio
Alina Odescalchi
Alina Ossani
Alina Romagnoli
Alina Salvemini
Allegra Barcella
Allegra Caccioppoli-Bongiorno
Allegra Rapisardi
Alphons Finzi-Ortolani
Alphons Gianetti
Alphons Spanevello
Amadeo Disdero
Amadeo Letta
Amadeo Monduzzi-Bottaro
Amalia Bettin-Staglieno
Amalia Fagiani
Amalia Ioppi
Amalia Scaduto-Vittadello
Amanda Galuppi-Totino
Amanda Goldoni
Amanda Longhena
Amanda Ravaglioli-Anastasi
Amedeo Abatantuono
Amedeo Metella
Amedeo Nitto
Amedeo Pizzo
Amico Cristoforetti-Fogazzaro
Amico Salata
Amico Serlupi
Amico Solari
Amico Soprano
Amico Traversa
Amleto Flaiano
Amleto Paganini
Amleto Paoletti
Amleto Zarlino
Angelica Alighieri
Angelica Gullotta
Angelica Lippomano
Angelica Pastine
Angelica Semitecolo
Angelina Bosurgi
Angelina Scamarcio
Angelina Trombetta
Angelo Maglio
Angelo Salvemini-Scamarcio
Angelo Sismondi
Anita Cammarata
Anita Garozzo
Anita Majewski
Annalisa Bombieri
Annalisa Bonino
Annalisa Casalodi
Annalisa Guarato
Annalisa Manzoni-Schiavone
Annalisa Merisi
Annalisa Tosto
Annamaria Cesaroni
Annamaria Mazzini
Annamaria Pace
Annamaria Procacci
Annamaria Rubbia
Annetta Cuomo
Annetta Mastroianni
Annetta Mercati
Annetta Rapisardi
Annetta Respighi
Annetta Valier
Annibale Acerbi
Annibale Castellitto
Annibale Malacarne
Annunziata Maglio
Annunziata Sagredo
Annunziata Staglieno
Ansaldo Gigli-Morabito
Ansaldo Turci
